source_id,source_name,relationship_type,target_id,target_name
CON.agent_constellation,Agent Constellation,part_of,SYS.agent_ecosystem,Agent Ecosystem
CON.agent_constellation,Agent Constellation,implements,PAT.constellation_architecture_pattern,Constellation Architecture Pattern
CON.agent_constellation,Agent Constellation,implements,PAT.exec_supervisor_specialist,Executive-Supervisor-Specialist Pattern
CON.agent_constellation,Agent Constellation,uses,CON.agent_system,Agent System
CON.agent_constellation,Agent Constellation,uses,CON.executive_agent,Executive Agent
CON.agent_constellation,Agent Constellation,uses,CON.supervisor_agent,Supervisor Agent
CON.agent_constellation,Agent Constellation,uses,CON.specialist_agent,Specialist Agent
CON.agent_constellation,Agent Constellation,uses,CON.authority_pack,Authority Pack
CON.agent_constellation,Agent Constellation,produces,CON.operational_outcome,Operational Outcome
CON.agent_ecosystem,Agent Ecosystem,uses,SYS.agent_constellation,Agent Constellation
CON.agent_ecosystem,Agent Ecosystem,uses,CON.agent_system,Agent System
CON.agent_ecosystem,Agent Ecosystem,uses,SYS.shared_services,Shared Services
CON.agent_ecosystem,Agent Ecosystem,produces,CON.operational_intelligence,Operational Intelligence
CON.agent_maestro_layer_model,Agent Maestro Layer Model,applies_to,CON.agent_system,Agent System
CON.agent_maestro_layer_model,Agent Maestro Layer Model,applies_to,SYS.agent_constellation,Agent Constellation
CON.agent_maestro_layer_model,Agent Maestro Layer Model,applies_to,CON.memory_architecture,Memory Architecture
CON.agent_maestro_layer_model,Agent Maestro Layer Model,applies_to,SYS.authority_architecture,Authority Architecture
CON.agent_maestro_layer_model,Agent Maestro Layer Model,uses,CON.agent,Agent
CON.agent_maestro_layer_model,Agent Maestro Layer Model,uses,CON.authority_pack,Authority Pack
CON.agent_maestro_layer_model,Agent Maestro Layer Model,uses,SYS.memory_model,Memory Model
CON.agent_maestro_layer_model,Agent Maestro Layer Model,uses,CON.model_workspace_protocol,Model Workspace Protocol
CON.agent_orchestration,Agent Orchestration,part_of,CON.agent_systems,Agent Systems
CON.agent_orchestration,Agent Orchestration,implements,PAT.deterministic_control_surfaces,Deterministic Control Surfaces
CON.agent_orchestration,Agent Orchestration,implements,PAT.human_escalation_pattern,Human Escalation Pattern
CON.agent_orchestration,Agent Orchestration,applies_to,CON.agent_workflow,Agent Workflow
CON.agent_orchestration,Agent Orchestration,uses,CON.agent,Agent
CON.agent_system,Agent System,part_of,SYS.agent_ecosystem,Agent Ecosystem
CON.agent_system,Agent System,part_of,SYS.agent_constellation,Agent Constellation
CON.agent_system,Agent System,uses,CON.agent,Agent
CON.agent_system,Agent System,uses,CON.authority_pack,Authority Pack
