timestamp,agent_id,agent_role,constellation,action,reason,escalates_to,status
2026-03-14T11:27:51.293848+00:00,compiled.CONST.vault_curator.executive.v1.0,executive,vault_curator,Delete vault files,All file deletions require human operator approval,human_operator,approved
2026-03-14T11:27:51.298289+00:00,compiled.CONST.vault_curator.executive.v1.0,executive,vault_curator,Prioritise maintenance tasks,Execution failed: Something went wrong,human_operator,pending
2026-03-14T11:27:51.305831+00:00,compiled.CONST.vault_curator.executive.v1.0,executive,vault_curator,Delete vault files,All file deletions require human operator approval,human_operator,pending
2026-03-14T11:56:43.776845+00:00,compiled.CONST.vault_curator.executive.v1.0,executive,vault_curator,Delete vault files,All file deletions require human operator approval,human_operator,pending
2026-03-14T11:56:43.781376+00:00,compiled.CONST.vault_curator.executive.v1.0,executive,vault_curator,Prioritise maintenance tasks,Execution failed: Something went wrong,human_operator,pending
2026-03-14T11:56:43.789488+00:00,compiled.CONST.vault_curator.executive.v1.0,executive,vault_curator,Delete vault files,All file deletions require human operator approval,human_operator,pending
2026-03-14T11:59:47.123346+00:00,compiled.CONST.vault_curator.executive.v1.0,executive,vault_curator,Delete vault files,All file deletions require human operator approval,human_operator,pending
2026-03-14T11:59:47.128485+00:00,compiled.CONST.vault_curator.executive.v1.0,executive,vault_curator,Prioritise maintenance tasks,Execution failed: Something went wrong,human_operator,pending
2026-03-14T11:59:47.139543+00:00,compiled.CONST.vault_curator.executive.v1.0,executive,vault_curator,Delete vault files,All file deletions require human operator approval,human_operator,pending
2026-03-14T21:09:14.523001+00:00,compiled.CONST.vault_curator.executive.v1.0,executive,vault_curator,Delete vault files,All file deletions require human operator approval,human_operator,pending
2026-03-14T21:09:14.529434+00:00,compiled.CONST.vault_curator.executive.v1.0,executive,vault_curator,Prioritise maintenance tasks,Execution failed: Something went wrong,human_operator,pending
2026-03-14T21:09:14.538187+00:00,compiled.CONST.vault_curator.executive.v1.0,executive,vault_curator,Delete vault files,All file deletions require human operator approval,human_operator,pending
2026-03-14T21:09:51.305181+00:00,compiled.CONST.vault_curator.executive.v1.0,executive,vault_curator,Control gate VC-GATE-001,Gate failed: Audit reports must exist and be current (< 24 hours old) before prioritisation,human_operator,pending
2026-03-14T21:09:51.318713+00:00,compiled.CONST.vault_curator.executive.v1.0,executive,vault_curator,Delete vault files,All file deletions require human operator approval,human_operator,pending
2026-03-14T21:09:51.322840+00:00,compiled.CONST.vault_curator.executive.v1.0,executive,vault_curator,Prioritise maintenance tasks,Execution failed: Something went wrong,human_operator,pending
2026-03-14T21:09:51.329257+00:00,compiled.CONST.vault_curator.executive.v1.0,executive,vault_curator,Delete vault files,All file deletions require human operator approval,human_operator,pending
2026-03-14T21:22:16.845708+00:00,compiled.CONST.vault_curator.executive.v1.0,executive,vault_curator,Control gate VC-GATE-001,Gate failed: Audit reports must exist and be current (< 24 hours old) before prioritisation,human_operator,pending
2026-03-14T21:22:16.876361+00:00,compiled.CONST.vault_curator.executive.v1.0,executive,vault_curator,Delete vault files,All file deletions require human operator approval,human_operator,pending
2026-03-14T21:22:16.974106+00:00,compiled.CONST.vault_curator.executive.v1.0,executive,vault_curator,Prioritise maintenance tasks,Execution failed: Something went wrong,human_operator,pending
2026-03-14T21:22:16.993830+00:00,compiled.CONST.vault_curator.executive.v1.0,executive,vault_curator,Delete vault files,All file deletions require human operator approval,human_operator,pending
2026-03-15T11:11:05.643104+00:00,compiled.CONST.vault_maintenance.specialist.note_processor.v1.0,specialist,vault_maintenance,Classify notes,Action not defined in authority pack — escalating,CONST.vault_maintenance.supervisor,pending
2026-03-15T11:11:05.652291+00:00,compiled.CONST.vault_maintenance.supervisor.v1.0,supervisor,vault_maintenance,Delegate audit tasks to specialists,Missing required evidence: Repair log with before/after states: 06_EXECUTION/logs/vault_maintenance_repair_log.csv; Cycle summary report: 06_EXECUTION/reports/vault_maintenance_cycle_report.json,EXEC.pack.knowledge_executive,pending
2026-03-15T11:11:05.659388+00:00,compiled.CONST.vault_maintenance.supervisor.v1.0,supervisor,vault_maintenance,Coordinate specialist execution sequence,Missing required evidence: Repair log with before/after states: 06_EXECUTION/logs/vault_maintenance_repair_log.csv; Cycle summary report: 06_EXECUTION/reports/vault_maintenance_cycle_report.json,EXEC.pack.knowledge_executive,pending
2026-03-15T11:12:31.584970+00:00,compiled.CONST.vault_maintenance.specialist.note_processor.v1.0,specialist,vault_maintenance,Classify notes,Action not defined in authority pack — escalating,CONST.vault_maintenance.supervisor,pending
2026-03-15T11:12:31.648002+00:00,compiled.CONST.vault_maintenance.specialist.definition_alignment.v1.0,specialist,vault_maintenance,Scan definition consistency,Action not defined in authority pack — escalating,CONST.vault_maintenance.supervisor,pending
2026-03-15T11:17:40.352791+00:00,compiled.CONST.vault_curator.executive.v1.0,executive,vault_curator,Control gate VC-GATE-001,Gate failed: Audit reports must exist and be current (< 24 hours old) before prioritisation,human_operator,pending
2026-03-15T11:17:40.367835+00:00,compiled.CONST.vault_curator.executive.v1.0,executive,vault_curator,Delete vault files,All file deletions require human operator approval,human_operator,pending
2026-03-15T11:17:40.372459+00:00,compiled.CONST.vault_curator.executive.v1.0,executive,vault_curator,Prioritise maintenance tasks,Execution failed: Something went wrong,human_operator,pending
2026-03-15T11:17:40.379572+00:00,compiled.CONST.vault_curator.executive.v1.0,executive,vault_curator,Delete vault files,All file deletions require human operator approval,human_operator,pending
2026-03-15T11:18:18.332910+00:00,compiled.CONST.vault_curator.executive.v1.0,executive,vault_curator,Control gate VC-GATE-001,Gate failed: Audit reports must exist and be current (< 24 hours old) before prioritisation,human_operator,pending
2026-03-15T11:18:18.348883+00:00,compiled.CONST.vault_curator.executive.v1.0,executive,vault_curator,Delete vault files,All file deletions require human operator approval,human_operator,pending
2026-03-15T11:18:18.353897+00:00,compiled.CONST.vault_curator.executive.v1.0,executive,vault_curator,Prioritise maintenance tasks,Execution failed: Something went wrong,human_operator,pending
2026-03-15T11:18:18.363784+00:00,compiled.CONST.vault_curator.executive.v1.0,executive,vault_curator,Delete vault files,All file deletions require human operator approval,human_operator,pending
